Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2024-01-02,2024-01-03,****1234,"ZOOM.US Subscription - Monthly",Software,14.99,
2024-01-03,2024-01-04,****1234,"DROPBOX Business Plan",Software,15.00,
2024-01-05,2024-01-06,****1234,"LINKEDIN Premium Business",Marketing,59.99,
2024-01-07,2024-01-08,****1234,"ADOBE Creative Cloud",Software,52.99,
2024-01-10,2024-01-11,****1234,"AWS Cloud Services",Technology,89.45,
2024-01-12,2024-01-13,****1234,"GITHUB Enterprise",Software,21.00,
2024-01-15,2024-01-16,****1234,"SLACK Pro Plan",Software,12.50,
2024-01-18,2024-01-19,****1234,"CANVA Pro Subscription",Marketing,14.99,
2024-01-20,2024-01-21,****1234,"GOOGLE Workspace",Software,18.00,
2024-01-22,2024-01-23,****1234,"HUBSPOT Marketing Hub",Marketing,45.00,
2024-01-25,2024-01-26,****1234,"SALESFORCE CRM",Software,25.00,
2024-01-28,2024-01-29,****1234,"MAILCHIMP Email Marketing",Marketing,34.99,
2024-01-30,2024-01-31,****1234,"QUICKBOOKS Online",Accounting,30.00,
