id,date,description,vendor,amount,category,coa_code,confidence_expected,notes,is_ambiguous
1,2025-07-07,LOCAL RESTAURANT HOLDINGS,LOCAL,-65.74,Meals & Entertainment,5200,0.8743984439578438,Generated from template: Meals & Entertainment,False
2,2025-07-08,UBER RIDE PHILADELPHIA,UBER,-734.51,Travel Expenses,5400,0.8524786361898189,Generated from template: Travel Expenses,False
3,2025-05-22,PIZZA HUT SAN JOSE CO,PIZZA,-30.77,Meals & Entertainment,5200,0.874484254407835,Generated from template: Meals & Entertainment,False
4,2025-06-06,HP ENTERPRISE LLC,HP,-1469.57,Equipment Expenses,5500,0.8502675722602886,Generated from template: Equipment Expenses,False
5,2025-06-15,WALMART BUSINESS PURCHASE,WALMART,-68.98,Office Expenses,5000,0.6657119106864461,Ambiguous - could be supplies or food,True
6,2025-07-30,AMAZON OFFICE SUPPLIES SYSTEMS,AMAZON,-169.06,Office Expenses,5000,0.892843382729458,Generated from template: Office Expenses,False
7,2025-08-06,INTERNET SERVICE PROVIDER,INTERNET,-135.48,Utilities,5700,0.8690131989277088,Generated from template: Utilities,False
8,2025-06-20,SPEEDWAY GAS PHILADELPHIA,SPEEDWAY,-87.75,Vehicle Expenses,5100,0.911591235405355,Generated from template: Vehicle Expenses,False
9,2025-07-10,OFFICEMAX NYC,OFFICEMAX,-61.33,Office Expenses,5000,0.8840250516517991,Generated from template: Office Expenses,False
10,2025-08-09,PHONE COMPANY,PHONE,-229.11,Utilities,5700,0.9180855094182022,Generated from template: Utilities,False
11,2025-06-03,OFFICE DEPOT NYC,OFFICE,-85.54,Office Expenses,5000,0.9236471214164013,Generated from template: Office Expenses,False
12,2025-07-09,CHIPOTLE BOSTON,CHIPOTLE,-18.19,Meals & Entertainment,5200,0.8889476812666941,Generated from template: Meals & Entertainment,False
13,2025-07-04,OFFICEMAX CHICAGO,OFFICEMAX,-262.07,Office Expenses,5000,0.8777973603110092,Generated from template: Office Expenses,False
14,2025-06-02,SLACK TECHNOLOGIES,SLACK,-39.98,Software Expenses,5300,0.922335256588097,Generated from template: Software Expenses,False
15,2025-08-07,WATER DEPARTMENT,WATER,-275.45,Utilities,5700,0.8539422573960818,Generated from template: Utilities,False
16,2025-05-22,MARRIOTT HOTEL EL PASO,MARRIOTT,-401.34,Travel Expenses,5400,0.8808258349930134,Generated from template: Travel Expenses,False
