id,amount_base,transaction_date,description_normalized,counterparty_normalized,expected_match_type
1,3200.74,2024-01-01T00:00:00,Software subscription 2025-08-15,Office Depot,exact
2,3705.93,2024-01-18T00:00:00,Office supplies expense,Starbucks,exact
3,477.54,2024-01-08T00:00:00,Consultant fee payment,Consulting LLC,exact
4,3582.94,2024-01-23T00:00:00,Consultant fee payment,Apple,exact
5,1398.17,2024-01-28T00:00:00,Coffee shop purchase,ABC Corp,exact
6,2118.85,2024-01-09T00:00:00,Payment for Client payment received,Office Depot,exact
7,1905.84,2024-01-12T00:00:00,Travel reimbursement,Starbucks,exact
8,2302.53,2024-01-04T00:00:00,Payment for Marketing campaign cost,State Farm,exact
9,2890.99,2024-01-23T00:00:00,Office supplies expense 2025-08-15,Microsoft,exact
10,4278.04,2024-01-28T00:00:00,Office supplies expense,Apple,exact
11,4172.21,2024-01-06T00:00:00,Travel reimbursement,Microsoft,exact
12,4683.91,2024-01-21T00:00:00,Office supplies expense,ABC Corp,exact
13,3648.34,2024-01-06T00:00:00,Equipment purchase,Consulting LLC,exact
14,3426.23,2024-01-27T00:00:00,Coffee shop purchase - TXN#944151,Delta Airlines,exact
15,1346.03,2024-01-07T00:00:00,Insurance premium,Delta Airlines,exact
16,3280.64,2024-01-13T00:00:00,Equipment purchase 2025-08-15,PG&E,exact
17,2811.23,2024-01-09T00:00:00,Insurance premium,State Farm,exact
18,1816.36,2024-01-05T00:00:00,Consultant fee payment,Starbucks,exact
19,772.68,2024-01-06T00:00:00,Marketing campaign cost,Google Ads,exact
20,2983.48,2024-01-15T00:00:00,CONSULTANT FEE PAYMENT,Starbucks,exact
21,3606.4,2024-01-22T00:00:00,Consultant fee payment,Delta Airlines,exact
22,1474.57,2024-01-06T00:00:00,Equipment_purchase,Microsoft,exact
23,3812.19,2024-01-17T00:00:00,Office supplies expense,Microsoft,exact
24,2543.24,2024-01-07T00:00:00,Client payment received,ABC Corp,exact
25,4767.96,2024-01-30T00:00:00,Consultant fee payment,State Farm,exact
26,2448.14,2024-01-04T00:00:00,Travel reimbursement,Microsoft,exact
27,299.05,2024-01-29T00:00:00,Insurance premium,Office Depot,exact
28,2435.09,2024-01-03T00:00:00,Consultant fee payment,ABC Corp,exact
29,2381.66,2024-01-18T00:00:00,CLIENT PAYMENT RECEIVED,Google Ads,exact
30,4645.28,2024-01-25T00:00:00,Utility bill payment,Google Ads,exact
31,3252.89,2024-01-15T00:00:00,Consultant fee payment,PG&E,exact
32,329.49,2024-01-01T00:00:00,Insurance premium,State Farm,exact
33,45.88,2024-01-23T00:00:00,Coffee shop purchase - TXN#446479,Office Depot,exact
34,1197.64,2024-01-22T00:00:00,Equipment purchase 2025-08-15,State Farm,exact
35,2368.63,2024-01-26T00:00:00,Equipment purchase,PG&E,exact
36,493.68,2024-01-14T00:00:00,Travel reimbursement,Apple,exact
37,280.31,2024-01-21T00:00:00,Office_supplies_expense,Delta Airlines,exact
38,1250.8,2024-01-07T00:00:00,Consultant fee payment,Google Ads,exact
39,1399.94,2024-01-08T00:00:00,Office supplies expense,Consulting LLC,exact
40,262.44,2024-01-18T00:00:00,Coffee shop purchase,PG&E,exact
41,2038.01,2024-01-16T00:00:00,Utility bill payment,Starbucks,exact
42,1901.08,2024-01-13T00:00:00,Software subscription,Apple,exact
43,2120.81,2024-01-31T00:00:00,Consultant fee payment,Apple,exact
44,957.59,2024-01-07T00:00:00,Coffee shop purchase,Consulting LLC,exact
45,3742.4,2024-01-02T00:00:00,Coffee shop purchase,Consulting LLC,exact
46,795.59,2024-01-31T00:00:00,Consultant fee payment 2025-08-15,Office Depot,exact
47,349.12,2024-01-28T00:00:00,Utility bill payment,State Farm,exact
48,2898.81,2024-01-02T00:00:00,Insurance_premium,State Farm,exact
49,2618.69,2024-01-30T00:00:00,Software_subscription,Delta Airlines,exact
50,1335.42,2024-01-05T00:00:00,Software subscription,Office Depot,exact
51,2296.84,2024-01-19T00:00:00,Office supplies expense 2025-08-15,Consulting LLC,windowed
52,670.96,2024-01-12T00:00:00,Office supplies expense,Delta Airlines,windowed
53,797.16,2024-01-27T00:00:00,Consultant fee payment,State Farm,windowed
54,3342.64,2024-01-18T00:00:00,Software subscription,Office Depot,windowed
55,1329.68,2024-01-29T00:00:00,Office supplies expense,ABC Corp,windowed
56,1415.96,2024-01-07T00:00:00,Travel_reimbursement,Microsoft,windowed
57,1263.1,2024-01-30T00:00:00,Coffee shop purchase (Online),Microsoft,windowed
58,27.69,2024-01-25T00:00:00,Client payment received,Microsoft,windowed
59,3708.74,2024-01-18T00:00:00,Marketing campaign cost,Office Depot,windowed
60,4725.8,2024-01-23T00:00:00,Client payment received,Delta Airlines,windowed
61,2154.64,2024-01-02T00:00:00,Software subscription,Starbucks,windowed
62,1058.28,2024-01-08T00:00:00,Office supplies expense,Consulting LLC,windowed
63,4869.45,2024-01-24T00:00:00,Client payment received,PG&E,windowed
64,4881.27,2024-01-26T00:00:00,Client payment received,Starbucks,windowed
65,3685.46,2024-01-11T00:00:00,Marketing campaign cost,PG&E,windowed
66,804.4,2024-01-23T00:00:00,Office supplies expense,Starbucks,windowed
67,1119.94,2024-01-27T00:00:00,Equipment purchase,PG&E,windowed
68,128.09,2024-01-07T00:00:00,Marketing campaign cost,Office Depot,windowed
69,1762.22,2024-01-17T00:00:00,Marketing campaign cost,Consulting LLC,windowed
70,4696.79,2024-01-04T00:00:00,Payment for Software subscription,Starbucks,windowed
71,2986.89,2024-01-12T00:00:00,Travel reimbursement,Consulting LLC,windowed
72,1932.13,2024-01-19T00:00:00,Utility_bill_payment,Google Ads,windowed
73,2604.4,2024-01-26T00:00:00,Consultant fee payment,PG&E,windowed
74,2162.17,2024-01-31T00:00:00,Travel reimbursement,Office Depot,windowed
75,2540.54,2024-01-22T00:00:00,Marketing campaign cost,Microsoft,windowed
76,967.28,2024-01-22T00:00:00,Marketing campaign cost,ABC Corp,windowed
77,2036.32,2024-01-27T00:00:00,Coffee shop purchase,PG&E,windowed
78,3930.94,2024-01-20T00:00:00,Travel reimbursement,Apple,windowed
79,2560.76,2024-01-26T00:00:00,Client payment received,Microsoft,windowed
80,476.0,2024-01-31T00:00:00,Utility bill payment,PG&E,windowed
81,750.14,2024-01-02T00:00:00,Utility bill payment,Office Depot,fuzzy
82,980.17,2024-01-23T00:00:00,Marketing_campaign_cost,Starbucks,fuzzy
83,1101.67,2024-01-26T00:00:00,Consultant fee payment,Office Depot,fuzzy
84,2658.52,2024-01-18T00:00:00,Insurance premium,Apple,fuzzy
